Generated by GetData Graph Digitizer 2.26.0.20 on October 19 2020, 00:17
from file 'E:\undergraduate_study\study\research&competition\igem及合成生物学\土壤改造\建模\各个话题\多糖生产\processing\2.jpg'

Line #1
 1.13378684807257e-002    5.83879761290798e-003
 5.00000000000000e+000    1.75384955426214e-002
 1.00028344671202e+001    3.50106829735504e-002
 1.50056689342404e+001    7.26994769026744e-002
 2.00085034013605e+001    7.35651661386576e-002
 2.49971655328798e+001    8.30987990864216e-002
 2.99716553287982e+001    1.02744419067266e-001

Line #2
 1.13378684807257e-002    5.83879761290798e-003
 5.00000000000000e+000    2.25926471671701e-002
 1.00170068027211e+001    4.13346349370073e-001
 1.49348072562358e+001    6.75605982465188e-001
 1.99943310657596e+001    6.78623001547189e-001
 2.49688208616780e+001    9.69748765932366e-001
 2.99433106575964e+001    1.59589258085906e+000
